review,sentiment
"Bobot setir terasa standar di kecepatan sedang, tidak ada masalah signifikan. Steering wheel weight feels standard at medium speeds, no significant issues.",netral
"Tingkat keheningan kabin di kecepatan rendah cukup wajar, bukan yang terhening di kelasnya. Cabin quietness at low speeds is quite reasonable, not the quietest in its class.",netral
"Desain handle pintu konvensional, kurang modern dan terkesan biasa saja. Door handle design is conventional, less modern and appears ordinary.",netral
"Material jok kulit sintetis yang lumayan tahan lama, tapi kurang terasa premiumnya. Synthetic leather seat material that is fairly durable, but lacks a premium feel.",netral
"Fitur parkir otomatisnya tidak selalu akurat 100%, kadang perlu koreksi. Automatic parking feature is not always 100% accurate, sometimes requires correction.",netral
"Sensor tekanan ban akurat, tapi sering memberikan notifikasi berlebihan, bikin sedikit khawatir. Tire pressure sensors are accurate, but often give excessive notifications, causing a bit of worry.",netral
"Rem parkir elektrik mudah digunakan, namun suaranya terkadang terdengar kasar. Electric parking brake is easy to use, but its sound can sometimes be rough.",netral
"Kapasitas tangki bensin cukup besar, tapi tetap harus sering isi kalau sering jalan jauh. Fuel tank capacity is quite large, but still requires frequent refills for long trips.",netral
"Pilihan warna eksterior standar dan kurang berani, kurang variatif. Exterior color options are standard and less bold, lacking variety.",netral
"Visibilitas kaca spion terasa cukup luas, meskipun bukan yang terbesar di kelasnya. Rearview mirror visibility feels quite wide, though not the largest in its class.",netral
"Lampu interior biasa saja, bukan ambient lighting dinamis seperti kompetitor lain. Interior lighting is ordinary, not dynamic ambient lighting like other competitors.",netral
"Tinggi ground clearance cukup ideal untuk perkotaan, tidak terlalu tinggi juga tidak rendah. Ground clearance height is quite ideal for urban areas, neither too high nor too low.",netral
"Fitur auto high beam berfungsi tapi responsnya kadang lambat, perlu ditingkatkan akurasinya. Auto high beam feature works but its response is sometimes slow, accuracy needs improvement.",netral
"Biaya perawatan setelah 50.000 km mulai terasa sedikit mahal, perlu dipertimbangkan lagi. Maintenance costs after 50,000 km start to feel a bit expensive, needs further consideration.",netral
"Pengaturan posisi duduk pengemudi cukup banyak variasi, tapi perlu waktu menyesuaikan. Driver's seating position has quite a few variations, but takes time to adjust.",netral
"Sistem alarmnya standar, bukan yang paling canggih seperti mobil sekelasnya. The alarm system is standard, not the most advanced like cars in its class.",netral
"Peredaman suara jalan dari kolong mobil kurang optimal di kecepatan tinggi, sedikit mengganggu. Road noise dampening from under the car is suboptimal at high speeds, a bit disruptive.",netral
"Jaringan dealer resmi cukup, tidak banyak tidak sedikit, tersebar di kota besar. Authorized dealer network is adequate, neither many nor few, spread in major cities.",netral
"Lampu belakang LED standar, tidak ada detail animasi atau pattern khusus. Standard LED taillights, no animation details or special patterns.",netral
"Desain bumper depan dan belakang terkesan kurang sporty, tidak sejalan dengan kesan keseluruhan mobil. Front and rear bumper designs appear less sporty, inconsistent with the car's overall impression.",netral
"Akselerasi di mode eco terlalu tumpul, membuat frustrasi dan tidak bertenaga. Acceleration in eco mode is too blunt, frustrating and underpowered.",negatif
"Sistem infotainment sering blank atau lag parah, sangat mengganggu fokus dan keselamatan berkendara. Infotainment system often blanks or lags severely, very disruptive to focus and driving safety.",negatif
"Jok kulitnya cepat retak dan mengelupas di sisi, kualitas buruk dan tidak tahan lama. Leather seats crack quickly and peel on the sides, poor quality and not durable.",negatif
"Layanan purna jual di dealer resmi sangat buruk, janji tidak ditepati dan tidak ada transparansi. After-sales service at authorized dealership is very poor, promises are not kept and there's no transparency.",negatif
"Konsumsi baterai sangat boros di kondisi macet, tidak efisien sama sekali dan buang-buang daya. Battery consumption is very wasteful in traffic, not efficient at all and drains power.",negatif
"Tenaga mesin terasa ngedrop di putaran tinggi, kurang power saat diperlukan, membahayakan. Engine power feels dropped at high RPMs, insufficient power when needed, dangerous.",negatif
"Sistem pengereman terasa kurang pakem, butuh injakan lebih dalam, tidak memberikan rasa aman. Braking system feels less effective, requires deeper pedal push, not providing a sense of safety.",negatif
"Munculnya banyak 'recall' model ini membuat ragu keamanan mobil dan reputasi mereknya. Many 'recall' issues for this model raise doubts about car safety and brand reputation.",negatif
"Bunyi decitan dari suspensi mobil saat melewati jalan tidak rata, sangat mengganggu kenyamanan. Squeaking noise from the car's suspension when passing over uneven roads, very disruptive to comfort.",negatif
"Integrasi smartphone ke head unit sering bermasalah, tidak stabil dan koneksi putus-putus. Smartphone integration to head unit often has issues, unstable and frequently disconnects.",negatif
"Kualitas material dashboard terlihat murahan dengan banyak plastik keras yang mudah tergores. Dashboard material quality looks cheap with a lot of hard plastic that scratches easily.",negatif
"Sering mogok tiba-tiba di jalan, reliabilitasnya sangat buruk, membuat cemas di perjalanan. Often breaks down suddenly on the road, very poor reliability, causes anxiety on trips.",negatif
"Filter AC mudah kotor dan bau apek, perlu sering diganti, merepotkan dan mahal. AC filter gets dirty easily and smells stale, needs frequent replacement, inconvenient and expensive.",negatif
"Desain exterior terlihat kusam setelah beberapa bulan, cat mudah terkelupas dan pudar warnanya. Exterior design looks dull after a few months, paint peels and fades easily.",negatif
"Ukuran ban tidak standar, mahal, dan sulit dicari di toko biasa, merepotkan saat penggantian. Non-standard tire size, expensive, and hard to find in regular stores, inconvenient during replacement.",negatif
"Fitur semi-autonomous driving sering blank, bahkan berbahaya jika tidak diawasi ketat. Semi-autonomous driving feature often blanks, even dangerous if not strictly supervised.",negatif
"Suara deru ban terlalu kencang di kabin saat di kecepatan tinggi, membuat komunikasi sulit. Tire roar is too loud in cabin at high speeds, making communication difficult.",negatif
"Biaya perbaikan kerusakan bodi sangat mahal, lama prosesnya, dan tidak semua bengkel bisa. Body damage repair costs are very expensive, process takes long, and not all workshops can do it.",negatif
"Tinggi ground clearance terlalu rendah, sering mentok di jalan berlubang, merusak bagian bawah mobil. Ground clearance is too low, often scrapes on potholes, damaging the undercarriage.",negatif
"Fitur parkir otomatis sering gagal atau malah menabrak, tidak bisa diandalkan. Automatic parking feature often fails or even collides, unreliable.",negatif
"Pengaturan transmisi terasa kasar saat deselerasi, menyebabkan hentakan yang tidak nyaman. Transmission adjustment feels rough during deceleration, causing uncomfortable jerks.",negatif
"Sistem keyless entry sering gagal deteksi kunci, merepotkan saat buru-buru. Keyless entry system often fails to detect key, inconvenient when in a hurry.",negatif
"Lampu depan LED kurang terang saat kondisi berkabut, visibilitas sangat buruk. Front LED lights are not bright enough in foggy conditions, very poor visibility.",negatif
"Tombol power window terasa murahan dan macet, mengganggu fungsi dasar. Power window buttons feel cheap and get stuck, disrupting basic function.",negatif
"Resale value anjlok tajam di bawah ekspektasi, sangat merugikan investor. Resale value plummets sharply below expectation, very detrimental to investors.",negatif
"Suara mesin saat cold start sangat berisik dan kasar, membuat tetangga terganggu. Engine noise during cold start is very noisy and rough, disturbing neighbors.",negatif
"Ban bawaan mobil terlalu licin di jalan basah, gripnya kurang, berbahaya saat hujan. Default car tires are too slippery on wet roads, lack grip, dangerous in rain.",negatif
"Jaringan internet di head unit tidak stabil, sering terputus, buang fitur. Internet connection in head unit is unstable, frequently disconnects, wasted feature.",negatif
"Akselerasi di tanjakan terasa berat, tenaga kurang, membuat putus asa saat perjalanan pegunungan. Acceleration on inclines feels heavy, lacking power, causing despair on mountain trips.",negatif
"Lampu jauh otomatis sering salah deteksi, menyilaukan pengendara lain, berbahaya. Automatic high beams often misdetect, dazzling other drivers, dangerous.",negatif
"Pengaturan jok elektrik lambat merespon, buang waktu dan tidak efisien. Electric seat adjustment is slow to respond, time-wasting and inefficient.",negatif
"Kualitas audio speaker bawaan sangat buruk, suara pecah, tidak layak disebut premium. Default audio speaker quality is very poor, sound distorts, unworthy of being called premium.",negatif
"Sistem pendingin mesin mudah overheat di kemacetan, khawatir rusak mesin. Engine cooling system easily overheats in traffic, worried about engine damage.",negatif
"Jaringan service center sangat terbatas di daerah terpencil, sulit untuk perbaikan mendesak. Service center network is very limited in remote areas, difficult for urgent repairs.",negatif
"Ada bunyi getaran kuat dari dashboard saat melaju, menandakan build quality longgar. Loud vibration noise from dashboard when driving, indicating loose build quality.",negatif
"Celah panel pintu mudah kemasukan debu dan air, interior cepat kotor. Gaps in door panels easily get dust and water inside, interior gets dirty quickly.",negatif
"Kamera belakang buram dan banyak noise, sulit parkir di malam hari. Rear camera is blurry and has a lot of noise, difficult to park at night.",negatif
"Servis di bengkel resmi selalu antre panjang, membuat jengkel dan buang-buang waktu. Service at authorized workshops always has long queues, annoying and time-wasting.",negatif
"Fitur auto high beam sering gagal mendeteksi kendaraan dari depan, mengancam keselamatan. Auto high beam feature often fails to detect oncoming vehicles, threatening safety.",negatif
"Pengaturan kursi otomatis terlalu lambat, tidak praktis untuk penyesuaian cepat. Automatic seat adjustment is too slow, not practical for quick adjustments.",negatif
"Ukuran kompartemen penyimpanan terlalu kecil, tidak cukup untuk kebutuhan sehari-hari. Storage compartment sizes are too small, insufficient for daily needs.",negatif
"Material doortrim pintu cepat terkelupas, kualitas rendah dan mudah rusak. Door doortrim material peels quickly, low quality and easily damaged.",negatif
"Tarikannya terasa lambat dan kurang bertenaga, sangat membosankan untuk dikendarai. Acceleration feels slow and underpowered, very boring to drive.",negatif
"Sensor deteksi blind spot tidak akurat, sering memberikan peringatan palsu. Blind spot detection sensor is inaccurate, often gives false warnings.",negatif
"Warna interior cepat kusam, terlihat tidak terawat. Interior color dulls quickly, looks unmaintained.",negatif
"Sistem pengenalan wajah untuk pengemudi sering error, tidak bisa diandalkan. Facial recognition system for drivers often errors, unreliable.",negatif
"Kualitas kamera 360 derajat buram, sulit membedakan objek kecil. 360-degree camera quality is blurry, hard to distinguish small objects.",negatif
"Harga baterai pengganti sangat mahal, butuh biaya fantastis untuk diganti. Replacement battery price is very expensive, requires a fantastic cost to replace.",negatif
"Daya tahan baterai kendaraan listrik tidak sesuai klaim, lebih cepat habis dari ekspektasi. Electric vehicle battery life does not match claims, depletes faster than expected.",negatif
"Bobot mobil terasa berat dan tidak lincah, sulit bermanuver di lalu lintas padat. Car weight feels heavy and not agile, difficult to maneuver in heavy traffic.",negatif
"Fitur parking assist otomatisnya sering gagal parkir sempurna, butuh intervensi manual. Automatic parking assist feature often fails to park perfectly, requires manual intervention.",negatif
"Desain lampu sein terlihat jadul, tidak futuristik, tidak sesuai dengan mobil modern. Turn signal design looks old-fashioned, not futuristic, inconsistent with modern cars.",negatif
"Perangkat keras konektivitas cepat usang, butuh update rutin yang mahal dan merepotkan. Connectivity feature hardware quickly becomes obsolete, requiring expensive and inconvenient routine updates.",negatif
"Desain eksterior mobil ini sangat modern dan futuristik, benar-benar eye-catching di jalanan. The exterior design of this car is very modern and futuristic, truly eye-catching on the road.",positif
"Performa mesinnya sangat responsif dan bertenaga, akselerasi cepat membuat pengalaman berkendara luar biasa. Its engine performance is very responsive and powerful, fast acceleration makes for an amazing driving experience.",positif
"Interior mobil terasa sangat mewah dengan material berkualitas tinggi dan jahitan rapi. The car's interior feels very luxurious with high-quality materials and neat stitching.",positif
"Fitur keselamatan canggih seperti pengereman otomatis dan adaptive cruise control memberikan rasa aman. Advanced safety features like automatic braking and adaptive cruise control provide a sense of security.",positif
"Konsumsi bahan bakarnya irit sekali untuk ukuran SUV sebesar ini, sangat efisien. Its fuel consumption is very economical for an SUV of this size, very efficient.",positif
"Desain lampu depannya terlalu biasa, tidak ada inovasi yang menonjol. The headlight design is too ordinary, no outstanding innovation.",netral
"Interior mobilnya cukup fungsional, tidak mewah tapi tidak ada yang perlu dikeluhkan. The car's interior is quite functional, not luxurious but nothing to complain about.",netral
"Performa standar saja, cukup untuk kebutuhan harian, tapi tidak istimewa. Standard performance, enough for daily needs, but not special.",netral
"Fitur konektivitasnya umum saja, sudah banyak mobil lain yang punya. Connectivity features are just common, many other cars already have them.",netral
"Ukuran bagasinya memadai, bisa menampung banyak barang, tidak ada masalah di sana. The trunk size is adequate, can fit many items, no problems there.",netral
"Kualitas material dashboard terasa sangat murah dan rentan tergores, mengecewakan. The dashboard material quality feels very cheap and scratch-prone, disappointing.",negatif
"Sistem infotainment sering lag dan restart sendiri, sangat mengganggu saat perjalanan jauh. The infotainment system often lags and restarts on its own, very disruptive on long trips.",negatif
"Performa mesin sangat lemot di tanjakan, sering kehabisan tenaga, berbahaya di jalan tol. Engine performance is very sluggish on inclines, often runs out of power, dangerous on highways.",negatif
"Layanan purna jual dealer ini sangat buruk, susah klaim garansi dan antrean servis panjang. After-sales service at this dealership is very poor, difficult to claim warranty and long service queues.",negatif
"Desain grill depannya terlalu agresif, tidak cocok dengan selera umum masyarakat. The front grille design is too aggressive, not suitable for the general public's taste.",negatif
"Suspensi mobilnya sangat nyaman meredam guncangan, berkendara jadi mulus. The car's suspension comfortably absorbs bumps, making the ride smooth.",positif
"Harga jual kembalinya sangat stabil, investasi yang bagus untuk jangka panjang. Its resale value is very stable, a good long-term investment.",positif
"Sistem navigasi terintegrasi bekerja sangat akurat dan mudah digunakan. The integrated navigation system works very accurately and is easy to use.",positif
"Suara kabin sangat senyap di kecepatan tinggi, isolasi suaranya luar biasa. Cabin noise is very low at high speeds, sound insulation is excellent.",positif
"Ketersediaan spare part melimpah dan harganya terjangkau di pasaran. Spare parts availability is abundant and prices are affordable in the market.",positif
"Layar infotainmentnya responsif, tapi grafisnya terlihat ketinggalan zaman. The infotainment screen is responsive, but the graphics look outdated.",netral
"Kursi penumpang belakang terasa agak sempit untuk perjalanan jauh. Rear passenger seats feel a bit cramped for long journeys.",netral
"Pengaturan transmisi terasa kurang halus, ada sedikit hentakan saat perpindahan. The transmission setting feels less smooth, there's a slight jerk during shifts.",netral
"Warna interiornya terlalu gelap, kurang memberikan kesan lega. The interior color is too dark, doesn't give a spacious impression.",netral
"Sistem AC cukup dingin, tapi pengaturan zona tidak terlalu efektif. The AC system is cold enough, but zone settings are not very effective.",netral
"Build quality mobil ini sangat buruk, banyak panel tidak presisi dan cat mudah mengelupas. This car's build quality is very poor, many panels are not precise and paint peels easily.",negatif
"Boros bahan bakar sekali, tidak sesuai dengan klaim pabrikan, rugi besar. Extremely fuel inefficient, not consistent with manufacturer's claims, a big loss.",negatif
"Bunyi decit di kaki-kaki mobil mengganggu kenyamanan berkendara di jalan tidak rata. Squeaking noise from the car's suspension disturbs driving comfort on uneven roads.",negatif
"Sering mogok di jalan padahal baru servis, reliabilitasnya diragukan. Often breaks down on the road despite recent service, its reliability is questioned.",negatif
"Konektivitas Bluetooth sering putus-putus, membuat frustrasi saat telepon penting. Bluetooth connectivity frequently disconnects, frustrating during important calls.",negatif
"Sistem audio premiumnya jernih dan menghasilkan suara yang memukau. Its premium audio system is clear and produces stunning sound.",positif
"Fitur parking assist otomatisnya sangat membantu di parkiran sempit kota. Its automatic parking assist feature is very helpful in tight city parking spaces.",positif
"Desain peleknya sporty dan menambah kesan gagah pada mobil. The wheel design is sporty and adds a powerful impression to the car.",positif
"Jarak pandang sangat lega dari posisi pengemudi, minim blind spot. Very clear visibility from the driver's position, minimal blind spots.",positif
"Ada banyak kompartemen penyimpanan yang cerdas di dalam kabin, sangat praktis. There are many clever storage compartments inside the cabin, very practical.",positif
"Sistem keyless entry terkadang sulit merespon, harus berkali-kali mencoba. The keyless entry system sometimes struggles to respond, requiring multiple attempts.",netral
"Material jok terasa panas jika diparkir di bawah terik matahari. Seat material feels hot when parked under direct sunlight.",netral
"Desain bumper belakang terlihat terlalu standar, tidak selaras depan. The rear bumper design looks too standard, not aligned with the front.",netral
"Remnya pakem, tapi ada sedikit rasa ngelos jika pengereman mendadak. Brakes are effective, but there's a slight feeling of losing control during sudden braking.",netral
"Tingkat kejut getaran dari jalanan sedikit terasa masuk kabin. The shock vibration from the road is slightly felt inside the cabin.",netral
"Akselerasinya lambat meskipun sudah 'kick-down' penuh, sangat frustrasi. Acceleration is slow even with full 'kick-down', very frustrating.",negatif
"Suara knalpot terasa cempreng, tidak sesuai dengan karakter mobil mewah. Exhaust sound feels shrill, inconsistent with luxury car character.",negatif
"Tinggi ground clearance terlalu rendah, sering mentok di jalan bergelombang. Ground clearance is too low, often scrapes on wavy roads.",negatif
"Sensor parkir sering false alarm, malah bikin bingung dan tidak percaya. Parking sensors often false alarm, actually causing confusion and distrust.",negatif
"Biaya perawatan di bengkel resmi sangat mahal, lebih baik di bengkel luar. Maintenance costs at authorized workshops are very expensive, better at independent garages.",negatif
"Adaptive cruise control-nya bekerja mulus, sangat meringankan perjalanan jauh. Its adaptive cruise control works smoothly, greatly easing long journeys.",positif
"Material kulit joknya sangat lembut dan berkualitas tinggi, nyaman sekali. The leather seat material is very soft and high-quality, extremely comfortable.",positif
"Integrasi Apple CarPlay/Android Auto-nya responsif tanpa lag sama sekali. Its Apple CarPlay/Android Auto integration is responsive without any lag.",positif
"Bobot kemudi terasa pas, memberikan feeling berkendara yang sporty dan stabil. Steering weight feels just right, providing a sporty and stable driving feel.",positif
"Model pintu bagasi belakang sudah otomatis, sangat praktis saat membawa barang banyak. The rear tailgate is automatic, very practical when carrying many items.",positif
"Visibilitas kaca spion terasa sedikit kurang luas. Rearview mirror visibility feels a bit limited.",netral
"Pilihan warna bodi mobil kurang variatif, cenderung warna dasar saja. Body color options are less varied, mostly basic colors.",netral
"Lampu belakang LED modern, tapi bentuknya agak standar. Rear LED lights are modern, but the shape is a bit standard.",netral
"Fitur voice command kadang tidak memahami perintah dengan baik. Voice command feature sometimes doesn't understand commands well.",netral
"Ukuran layar MID (Multi-Information Display) kurang besar. MID (Multi-Information Display) screen size is not big enough.",netral
"Tenaga mesin terasa ngedrop setelah melewati 100 km/jam, sangat mengganggu. Engine power feels dropped after 100 km/h, very annoying.",negatif
"Lampu depan LED kurang terang saat malam hari, tidak optimal. Front LED lights are not bright enough at night, not optimal.",negatif
"Jok kulitnya cepat mengelupas di bagian samping, padahal baru beberapa bulan. Leather seats peel quickly on the sides, even though it's only been a few months.",negatif
"Banyaknya tombol fisik di dashboard membuat interior terasa ramai dan tidak minimalis. Too many physical buttons on the dashboard make the interior feel cluttered and not minimalist.",negatif
"Servis di bengkel resmi selalu antre panjang, sangat tidak efisien dan buang waktu. Service at authorized workshops always has long queues, very inefficient and time-consuming.",negatif
"Head-up display sangat jelas dan informatif, memudahkan pantau informasi. The head-up display is very clear and informative, making it easy to monitor information.",positif
"Kapasitas tempat duduknya lapang, bahkan di baris ketiga pun masih nyaman untuk dewasa. Seating capacity is spacious, even the third row is comfortable for adults.",positif
"Desain velg yang berani dan futuristik, menambah nilai estetika pada mobil. The bold and futuristic wheel design adds aesthetic value to the car.",positif
"Efisiensi bahan bakar di lalu lintas kota cukup impresif. Fuel efficiency in city traffic is quite impressive.",positif
"Sistem keamanan alarm yang sangat sensitif dan memberikan ketenangan saat parkir. The alarm security system is very sensitive and provides peace of mind when parking.",positif
"Lampu senja DRL terlihat modern, tapi saat siang hari kurang menonjol. DRL (Daytime Running Lights) looks modern, but less prominent during daytime.",netral
"Sistem rem darurat otomatis kadang terlalu sensitif, sedikit mengejutkan. Automatic emergency braking system is sometimes too sensitive, a bit startling.",netral
"Aksesoris eksterior after market cukup terbatas pilihannya. Aftermarket exterior accessories are quite limited in choice.",netral
"Desain dashboard bersih dan minimalis, namun material terasa generik. Dashboard design is clean and minimalist, but material feels generic.",netral
"Resale value-nya cukup kompetitif di pasar, tidak merugi. Its resale value is quite competitive in the market, not a loss.",netral
"Penggerak roda depan kurang responsif saat start awal. Front-wheel drive is less responsive at initial start.",negatif
"Kualitas audio speaker bawaan sangat buruk, suara pecah di volume tinggi. The quality of the default audio speakers is very poor, sound cracks at high volume.",negatif
"Tempat pengisian daya nirkabel seringkali tidak berfungsi, buang fitur. Wireless charging pad often doesn't work, wasted feature.",negatif
"Fitur sunroof-nya sering macet saat dibuka, perlu tenaga ekstra. Sunroof often gets stuck when opened, requires extra effort.",negatif
"Biaya perbaikan suku cadang non-garansi sangat mahal di bengkel resmi. Repair costs for non-warranty spare parts are very expensive at authorized workshops.",negatif
"Kinerja transmisi otomatis sangat halus, perpindahan gigi tak terasa. Automatic transmission performance is very smooth, gear shifts are imperceptible.",positif
"Sistem pencahayaan interior ambient lighting sangat keren dan bisa diatur warna. Interior ambient lighting system is very cool and color adjustable.",positif
"Sudut kemudi ringan, cocok untuk bermanuver di kepadatan kota. Light steering angle, suitable for maneuvering in city traffic congestion.",positif
"Sistem hiburan di jok belakang membuat anak-anak betah di perjalanan. Rear seat entertainment system keeps children comfortable on journeys.",positif
"Fitur autonomous driving-nya cukup akurat, mengurangi beban pengemudi di tol. Its autonomous driving feature is quite accurate, reducing driver load on highways.",positif
"Performa handling saat bermanuver di kecepatan tinggi terasa kurang stabil. High-speed handling during maneuvers feels less stable.",negatif
"Sistem ventilasi jok kurang efektif, tetap terasa panas di cuaca terik. Seat ventilation system is less effective, still feels hot in scorching weather.",negatif
"Celah panel interior banyak yang renggang, terkesan kurang rapi. Many interior panel gaps are loose, appearing untidy.",negatif
"Fitur auto high beam lampu sering salah deteksi kendaraan lain, membahayakan. Auto high beam feature often misdetects other vehicles, dangerous.",negatif
"Asuransi tahunan mobil ini sangat mahal, di atas rata-rata mobil sekelasnya. Annual car insurance is very expensive, above average for its class.",negatif
"Build quality yang solid, tidak ada bunyi-bunyian di kabin. Solid build quality, no cabin noises.",positif
"Fitur remote start sangat praktis di pagi hari saat cuaca dingin. Remote start feature is very practical on cold mornings.",positif
"Tersedia layanan after sales 'jemput-antar' kendaraan untuk servis. 'Pick-up and drop-off' after-sales service is available for vehicle maintenance.",positif
"Head unit layar besar dan sangat responsif, navigasi jadi mudah. Large head unit screen is very responsive, navigation becomes easy.",positif
"Sistem pendingin mesin bekerja optimal, suhu selalu stabil di kemacetan. Engine cooling system works optimally, temperature always stable in traffic.",positif
"Kualitas cat bodi mobil terasa tipis dan mudah terkelupas. The car's paint quality feels thin and easily peels off.",negatif
"Mode berkendara eco terlalu lemot, tidak responsif sama sekali. Eco driving mode is too sluggish, completely unresponsive.",negatif
"Jaringan bengkel resmi tidak tersebar merata, susah mencari lokasi. Authorized workshop network is not evenly distributed, difficult to find locations.",negatif
"Desain handle pintu terasa kuno, tidak menyatu dengan estetika modern. Door handle design feels outdated, doesn't blend with modern aesthetics.",negatif
"Suara derit ban sangat mengganggu saat berbelok tajam di kecepatan rendah. Tire squealing noise is very disruptive when making sharp turns at low speeds.",negatif
"Material interior mobil ini terbuat dari daur ulang, sangat ramah lingkungan. This car's interior material is made from recycled materials, very environmentally friendly.",positif
"Fitur pemantauan tekanan ban sangat akurat, meningkatkan keselamatan berkendara. Tire pressure monitoring feature is very accurate, increasing driving safety.",positif
"Tenaga mesin listriknya sangat instan, responsif, dan tanpa emisi. Its electric engine power is instant, responsive, and emission-free.",positif
"Ukuran kursi penumpang baris kedua sangat lebar dan nyaman untuk 3 orang dewasa. Second row passenger seats are very wide and comfortable for 3 adults.",positif
"Purna jual kendaraan listrik ini dijamin, membuat aman untuk investasi. The after-sales of this electric vehicle is guaranteed, making it a safe investment.",positif
"Bobot mobil terlalu berat, membuat konsumsi baterai kurang efisien. Car weight is too heavy, making battery consumption less efficient.",negatif
"Lama waktu pengisian baterai terlalu panjang, tidak efisien di perjalanan. Battery charging time is too long, not efficient on journeys.",negatif
"Harga baterai pengganti sangat mahal, butuh biaya fantastis jika rusak. Replacement battery price is very expensive, requires a fantastic cost if damaged.",negatif
"Sistem pendingin baterai sering mengalami overheat, khawatir masalah jangka panjang. Battery cooling system often overheats, worried about long-term problems.",negatif
"Fitur fast charging hanya tersedia di sedikit SPKLU, kurang praktis. Fast charging feature only available at few public charging stations, less practical.",negatif
"Teknologi 'driverless' bekerja dengan presisi tinggi, masa depan otomotif. 'Driverless' technology works with high precision, the future of automotive.",positif
"Sistem deteksi blind spot sangat membantu di jalan raya padat. Blind spot detection system is very helpful on crowded highways.",positif
"Konsumsi daya listrik untuk fitur-fitur hiburan di kabin sangat efisien. Power consumption for in-cabin entertainment features is very efficient.",positif
"Kualitas material pelapis kursi terasa sangat lembut, anti-panas. Seat upholstery material feels very soft, anti-heat.",positif
"Ukuran head room lega, tidak ada masalah meski pengemudi tinggi. Headroom is spacious, no issues even for tall drivers.",positif
"Desain lampu sein terasa kurang inovatif, mirip mobil lama. Turn signal design feels less innovative, similar to old cars.",netral
"Suara mesin saat idle terasa sedikit kasar, perlu dihaluskan. Engine noise at idle feels a bit rough, needs to be smoothed out.",netral
"Pintu mobil terasa agak berat saat dibuka atau ditutup. Car doors feel a bit heavy when opened or closed.",netral
"Jarak putar kemudi cukup lebar, sedikit menyulitkan saat parkir paralel. Steering turning radius is quite wide, slightly complicating parallel parking.",netral
"Desain spion luar terlalu besar, sedikit mengganggu estetika. Exterior mirror design is too large, slightly disrupts aesthetics.",netral
"Kinerja autonomous driving-nya belum sempurna, masih sering blank. Autonomous driving performance is not perfect, still often blanks.",negatif
"Sensor kamera belakang sering buram, sulit melihat objek dengan jelas. Rear camera sensor often blurry, difficult to see objects clearly.",negatif
"Jok kulitnya cepat retak setelah beberapa tahun, kualitasnya kurang bagus. Leather seats crack quickly after a few years, quality is poor.",negatif
"Bunyi derit saat melewati polisi tidur, mengganggu kenyamanan. Squeaking noise when passing speed bumps, disturbs comfort.",negatif
"Filter AC mudah kotor dan bau, perlu sering diganti. AC filter gets dirty and smelly easily, needs frequent replacement.",negatif
"Sistem pengereman regeneratif sangat efektif, menambah jarak tempuh. Regenerative braking system is very effective, extending range.",positif
"Pengisian baterai sangat cepat, hanya 30 menit untuk 80%. Battery charging is very fast, only 30 minutes for 80%.",positif
"Interior menggunakan banyak material soft-touch, nyaman disentuh. Interior uses many soft-touch materials, comfortable to touch.",positif
"Pengaturan posisi duduk pengemudi sangat ergonomis dan mudah disesuaikan. Driver's seating position is very ergonomic and easily adjustable.",positif
"Varian warna interior bervariasi, memberikan banyak pilihan personalisasi. Interior color variants are varied, providing many personalization options.",positif
"Ukuran roda kemudi terasa sedikit terlalu besar. Steering wheel size feels a bit too large.",netral
"Material karpet dasar terasa standar, tidak ada kesan mewah. Floor mat material feels standard, no luxurious impression.",netral
"Desain knalpot terlihat generik, kurang inovatif. Exhaust design looks generic, less innovative.",netral
"Cahaya lampu sein terasa kurang cerah saat siang hari. Turn signal light feels less bright during daytime.",netral
"Tingkat aerodinamika desainnya cukup baik. Aerodynamics of the design are quite good.",netral
"Daya tahan baterai cepat habis jika AC dinyalakan penuh. Battery life drains quickly if AC is on full.",negatif
"Sensor wiper otomatis sering aktif tidak pada waktunya, mengganggu. Automatic wiper sensor often activates untimely, distracting.",negatif
"Material doortrim depan mudah kusam dan pudar warna. Front doortrim material easily dulls and fades in color.",negatif
"Tarikannya terasa lambat di kecepatan menengah. Acceleration feels slow at medium speeds.",negatif
"Tombol transmisi terasa agak keras, butuh tenaga lebih saat ditekan. Transmission button feels a bit stiff, requires more force when pressed.",negatif
"Teknologi pengereman darurat otonom bekerja presisi di kondisi kritis. Autonomous emergency braking technology works precisely in critical conditions.",positif
"Penyaluran tenaga mesin sangat halus tanpa lag atau getaran berlebihan. Engine power delivery is very smooth without lag or excessive vibration.",positif
"Lampu depan matriks LED cerdas menyesuaikan pencahayaan otomatis. Matrix LED headlights intelligently adjust lighting automatically.",positif
"Penyimpanan di bawah lantai bagasi sangat luas, tersembunyi, dan praktis. Underfloor trunk storage is very spacious, hidden, and practical.",positif
"Sistem pengenalan wajah untuk pengemudi sangat inovatif. Facial recognition system for drivers is very innovative.",positif
"Harga beli kendaraan ini terasa sangat mahal untuk target pasar. The purchase price of this vehicle feels very expensive for its target market.",negatif
"Bobot pintu mobil terlalu ringan, terasa kurang kokoh saat ditutup. Car door weight is too light, feels less sturdy when closed.",negatif
"Pengaturan kursi otomatis terlalu lambat dalam merespon perintah. Automatic seat adjustment is too slow in responding to commands.",negatif
